CBSA,CBSA Code,Date,AQI,Category,Defining Parameter
"Columbus, IN",18020,2023-06-17,76,Moderate,PM2.5
"Cookeville, TN",18260,2023-06-17,68,Moderate,PM2.5
"Corning, NY",18500,2023-06-17,69,Moderate,PM2.5
"Corpus Christi, TX",18580,2023-06-17,61,Moderate,PM2.5
"Corsicana, TX",18620,2023-06-17,66,Moderate,PM2.5
"Dayton, OH",19380,2023-06-17,97,Moderate,PM2.5
"Des Moines-West Des Moines, IA",19780,2023-06-17,65,Moderate,PM2.5
"Dickinson, ND",19860,2023-06-17,56,Moderate,PM2.5
"Duluth, MN-WI",20260,2023-06-17,68,Moderate,PM2.5
"Durham-Chapel Hill, NC",20500,2023-06-17,71,Moderate,PM2.5
"Dyersburg, TN",20540,2023-06-17,67,Moderate,PM2.5
"Eagle Pass, TX",20580,2023-06-17,75,Moderate,PM2.5
"Eau Claire, WI",20740,2023-06-17,75,Moderate,PM2.5
"El Dorado, AR",20980,2023-06-17,52,Moderate,PM2.5
"El Paso, TX",21340,2023-06-17,66,Moderate,PM2.5
"Elizabethtown-Fort Knox, KY",21060,2023-06-17,94,Moderate,PM2.5
"Elkhart-Goshen, IN",21140,2023-06-17,76,Moderate,PM2.5
"Erie, PA",21500,2023-06-17,88,Moderate,PM2.5
"Fairmont, WV",21900,2023-06-17,77,Moderate,PM2.5
"Fargo, ND-MN",22020,2023-06-17,76,Moderate,PM2.5
"Flint, MI",22420,2023-06-17,78,Moderate,PM2.5
"Florence, SC",22500,2023-06-17,89,Moderate,PM2.5
"Fort Madison-Keokuk, IA-IL-MO",22800,2023-06-17,60,Moderate,PM2.5
"Fort Wayne, IN",23060,2023-06-17,90,Moderate,PM2.5
"Gainesville, GA",23580,2023-06-17,76,Moderate,PM2.5
"Gettysburg, PA",23900,2023-06-17,80,Moderate,PM2.5
"Grand Island, NE",24260,2023-06-17,55,Moderate,PM2.5
"Grand Rapids-Wyoming, MI",24340,2023-06-17,81,Moderate,PM2.5
"Greensboro-High Point, NC",24660,2023-06-17,70,Moderate,PM2.5
"Greenville, NC",24780,2023-06-17,72,Moderate,PM2.5
"Greenville-Anderson-Mauldin, SC",24860,2023-06-17,88,Moderate,PM2.5
"Hagerstown-Martinsburg, MD-WV",25180,2023-06-17,66,Moderate,PM2.5
"Harrisburg-Carlisle, PA",25420,2023-06-17,76,Moderate,PM2.5
"Harrisonburg, VA",25500,2023-06-17,65,Moderate,PM2.5
"Hickory-Lenoir-Morganton, NC",25860,2023-06-17,76,Moderate,PM2.5
"Holland, MI",26090,2023-06-17,72,Moderate,PM2.5
"Hot Springs, AR",26300,2023-06-17,59,Moderate,PM2.5
"Houma-Thibodaux, LA",26380,2023-06-17,62,Moderate,PM2.5
"Houston-The Woodlands-Sugar Land, TX",26420,2023-06-17,73,Moderate,PM2.5
"Huntington-Ashland, WV-KY-OH",26580,2023-06-17,91,Moderate,PM2.5
"Indiana, PA",26860,2023-06-17,91,Moderate,PM2.5
"Iowa City, IA",26980,2023-06-17,72,Moderate,PM2.5
"Jackson, MS",27140,2023-06-17,51,Moderate,PM2.5
"Jackson, TN",27180,2023-06-17,65,Moderate,PM2.5
"Jasper, IN",27540,2023-06-17,66,Moderate,PM2.5
"Johnstown, PA",27780,2023-06-17,86,Moderate,PM2.5
"Killeen-Temple, TX",28660,2023-06-17,64,Moderate,PM2.5
"Kingsport-Bristol-Bristol, TN-VA",28700,2023-06-17,70,Moderate,PM2.5
"Kingsville, TX",28780,2023-06-17,57,Moderate,PM2.5
"Kokomo, IN",29020,2023-06-17,80,Moderate,PM2.5
"Lake Charles, LA",29340,2023-06-17,54,Moderate,PM2.5
"Lancaster, PA",29540,2023-06-17,77,Moderate,PM2.5
"Lansing-East Lansing, MI",29620,2023-06-17,60,Moderate,PM2.5
"Laredo, TX",29700,2023-06-17,67,Moderate,PM2.5
"Las Cruces, NM",29740,2023-06-17,53,Moderate,PM2.5
"Lawrenceburg, TN",29980,2023-06-17,59,Moderate,PM2.5
"Lebanon, PA",30140,2023-06-17,70,Moderate,PM2.5
"Lexington-Fayette, KY",30460,2023-06-17,76,Moderate,PM2.5
"Lima, OH",30620,2023-06-17,91,Moderate,PM2.5
"Little Rock-North Little Rock-Conway, AR",30780,2023-06-17,52,Moderate,PM2.5
"Louisville/Jefferson County, KY-IN",31140,2023-06-17,99,Moderate,PM2.5
"Lynchburg, VA",31340,2023-06-17,63,Moderate,PM2.5
"Madison, WI",31540,2023-06-17,98,Moderate,PM2.5
"Marshall, MN",32140,2023-06-17,70,Moderate,PM2.5
"McAllen-Edinburg-Mission, TX",32580,2023-06-17,64,Moderate,PM2.5
"Michigan City-La Porte, IN",33140,2023-06-17,65,Moderate,PM2.5
"Middlesborough, KY",33180,2023-06-17,79,Moderate,PM2.5
"Milwaukee-Waukesha-West Allis, WI",33340,2023-06-17,94,Moderate,PM2.5
"Minot, ND",33500,2023-06-17,72,Moderate,PM2.5
"Missoula, MT",33540,2023-06-17,55,Moderate,PM2.5
"Monroe, LA",33740,2023-06-17,57,Moderate,PM2.5
"Morgantown, WV",34060,2023-06-17,80,Moderate,PM2.5
"Muncie, IN",34620,2023-06-17,79,Moderate,PM2.5
"Muscatine, IA",34700,2023-06-17,62,Moderate,PM2.5
"New Castle, IN",35220,2023-06-17,92,Moderate,PM2.5
"New Haven-Milford, CT",35300,2023-06-17,56,Moderate,PM2.5
"New York-Newark-Jersey City, NY-NJ-PA",35620,2023-06-17,91,Moderate,PM2.5
"Parkersburg-Vienna, WV",37620,2023-06-17,83,Moderate,PM2.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2023-06-17,82,Moderate,PM2.5
"Pierre, SD",38180,2023-06-17,62,Moderate,PM2.5
"Platteville, WI",38420,2023-06-17,89,Moderate,PM2.5
"Rapid City, SD",39660,2023-06-17,58,Moderate,PM2.5
"Reading, PA",39740,2023-06-17,65,Moderate,PM2.5
"Richmond, VA",40060,2023-06-17,79,Moderate,PM2.5
"Roanoke Rapids, NC",40260,2023-06-17,72,Moderate,PM2.5
"Roanoke, VA",40220,2023-06-17,75,Moderate,PM2.5
"Rochester, NY",40380,2023-06-17,76,Moderate,PM2.5
"Rockford, IL",40420,2023-06-17,90,Moderate,PM2.5
"Rocky Mount, NC",40580,2023-06-17,64,Moderate,PM2.5
"Rome, GA",40660,2023-06-17,54,Moderate,PM2.5
"San Antonio-New Braunfels, TX",41700,2023-06-17,73,Moderate,PM2.5
"Scranton--Wilkes-Barre--Hazleton, PA",42540,2023-06-17,84,Moderate,PM2.5
"Shreveport-Bossier City, LA",43340,2023-06-17,68,Moderate,PM2.5
"Sioux City, IA-NE-SD",43580,2023-06-17,54,Moderate,PM2.5
"Somerset, KY",43700,2023-06-17,73,Moderate,PM2.5
"South Bend-Mishawaka, IN-MI",43780,2023-06-17,84,Moderate,PM2.5
"Spartanburg, SC",43900,2023-06-17,97,Moderate,PM2.5
"Springfield, MA",44140,2023-06-17,52,Moderate,PM2.5
"Springfield, OH",44220,2023-06-17,98,Moderate,PM2.5
"St. Cloud, MN",41060,2023-06-17,83,Moderate,PM2.5
"State College, PA",44300,2023-06-17,83,Moderate,PM2.5
"Syracuse, NY",45060,2023-06-17,78,Moderate,PM2.5
"Texarkana, TX-AR",45500,2023-06-17,63,Moderate,PM2.5
"Toledo, OH",45780,2023-06-17,85,Moderate,PM2.5
"Torrington, CT",45860,2023-06-17,52,Moderate,PM2.5
"Trenton, NJ",45940,2023-06-17,65,Moderate,PM2.5
"Twin Falls, ID",46300,2023-06-17,51,Moderate,PM2.5
"Utica-Rome, NY",46540,2023-06-17,55,Moderate,PM2.5
"Vermillion, SD",46820,2023-06-17,58,Moderate,PM2.5
"Vineland-Bridgeton, NJ",47220,2023-06-17,60,Moderate,PM2.5
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,2023-06-17,71,Moderate,PM2.5
"Waco, TX",47380,2023-06-17,66,Moderate,PM2.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2023-06-17,82,Moderate,PM2.5
"Watertown, SD",47980,2023-06-17,60,Moderate,PM2.5
"Weirton-Steubenville, WV-OH",48260,2023-06-17,94,Moderate,PM2.5
"Wheeling, WV-OH",48540,2023-06-17,96,Moderate,PM2.5
"Wilmington, NC",48900,2023-06-17,80,Moderate,PM2.5
"Winchester, VA-WV",49020,2023-06-17,79,Moderate,PM2.5
"Winston-Salem, NC",49180,2023-06-17,79,Moderate,PM2.5
"York-Hanover, PA",49620,2023-06-17,74,Moderate,PM2.5
"Youngstown-Warren-Boardman, OH-PA",49660,2023-06-17,96,Moderate,PM2.5
"Aberdeen, WA",10140,2023-06-17,11,Good,PM2.5
"Albany, GA",10500,2023-06-17,23,Good,PM2.5
"Albany, OR",10540,2023-06-17,8,Good,PM2.5
"Bakersfield, CA",12540,2023-06-17,49,Good,PM2.5
"Beatrice, NE",13100,2023-06-17,25,Good,PM2.5
"Bend-Redmond, OR",13460,2023-06-17,10,Good,PM2.5
"Bennington, VT",13540,2023-06-17,41,Good,PM2.5
"Billings, MT",13740,2023-06-17,13,Good,PM2.5
"Bozeman, MT",14580,2023-06-17,28,Good,PM2.5
"Bremerton-Silverdale, WA",14740,2023-06-17,15,Good,PM2.5
"Butte-Silver Bow, MT",15580,2023-06-17,24,Good,PM2.5
"Centralia, WA",16500,2023-06-17,8,Good,PM2.5
"Claremont-Lebanon, NH-VT",17200,2023-06-17,40,Good,PM2.5
"Clearlake, CA",17340,2023-06-17,20,Good,PM2.5
"Coeur d'Alene, ID",17660,2023-06-17,3,Good,PM2.5
"Crescent City, CA",18860,2023-06-17,19,Good,PM2.5
"Douglas, GA",20060,2023-06-17,20,Good,PM2.5
"Ellensburg, WA",21260,2023-06-17,9,Good,PM2.5
"Fairbanks, AK",21820,2023-06-17,26,Good,PM2.5
"Gardnerville Ranchos, NV",23820,2023-06-17,25,Good,PM2.5
"Grants Pass, OR",24420,2023-06-17,11,Good,PM2.5
"Great Falls, MT",24500,2023-06-17,45,Good,PM2.5
"Greenfield Town, MA",24640,2023-06-17,36,Good,PM2.5
"Gulfport-Biloxi-Pascagoula, MS",25060,2023-06-17,40,Good,PM2.5
"Hartford-West Hartford-East Hartford, CT",25540,2023-06-17,47,Good,PM2.5
"Hattiesburg, MS",25620,2023-06-17,41,Good,PM2.5
"Havre, MT",25660,2023-06-17,33,Good,PM2.5
"Helena, MT",25740,2023-06-17,42,Good,PM2.5
"Hilo, HI",25900,2023-06-17,21,Good,PM2.5
"Homosassa Springs, FL",26140,2023-06-17,29,Good,PM2.5
"Juneau, AK",27940,2023-06-17,11,Good,PM2.5
"Kahului-Wailuku-Lahaina, HI",27980,2023-06-17,15,Good,PM2.5
"Kalispell, MT",28060,2023-06-17,41,Good,PM2.5
"Keene, NH",28300,2023-06-17,39,Good,PM2.5
"Klamath Falls, OR",28900,2023-06-17,15,Good,PM2.5
"La Grande, OR",29260,2023-06-17,10,Good,PM2.5
"Lafayette, LA",29180,2023-06-17,45,Good,PM2.5
"Lewiston, ID-WA",30300,2023-06-17,24,Good,PM2.5
"Longview, WA",31020,2023-06-17,4,Good,PM2.5
"Lubbock, TX",31180,2023-06-17,45,Good,PM2.5
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2023-06-17,46,Good,PM2.5
"Modesto, CA",33700,2023-06-17,32,Good,PM2.5
"Moscow, ID",34140,2023-06-17,5,Good,PM2.5
"Moses Lake, WA",34180,2023-06-17,8,Good,PM2.5
"Naples-Immokalee-Marco Island, FL",34940,2023-06-17,37,Good,PM2.5
"New Orleans-Metairie, LA",35380,2023-06-17,46,Good,PM2.5
"Nogales, AZ",35700,2023-06-17,31,Good,PM2.5
"North Port-Sarasota-Bradenton, FL",35840,2023-06-17,38,Good,PM2.5
"Norwich-New London, CT",35980,2023-06-17,43,Good,PM2.5
"Odessa, TX",36220,2023-06-17,49,Good,PM2.5
"Othello, WA",36830,2023-06-17,4,Good,PM2.5
"Pittsfield, MA",38340,2023-06-17,50,Good,PM2.5
"Ponca City, OK",38620,2023-06-17,25,Good,PM2.5
"Prineville, OR",39260,2023-06-17,9,Good,PM2.5
"Pullman, WA",39420,2023-06-17,10,Good,PM2.5
"Rutland, VT",40860,2023-06-17,43,Good,PM2.5
"Salinas, CA",41500,2023-06-17,41,Good,PM2.5
"San Francisco-Oakland-Hayward, CA",41860,2023-06-17,47,Good,PM2.5
"San Juan-Carolina-Caguas, PR",41980,2023-06-17,33,Good,PM2.5
"Sandpoint, ID",41760,2023-06-17,9,Good,PM2.5
"Scottsbluff, NE",42420,2023-06-17,29,Good,PM2.5
"Seattle-Tacoma-Bellevue, WA",42660,2023-06-17,43,Good,PM2.5
"Shelton, WA",43220,2023-06-17,7,Good,PM2.5
"Sheridan, WY",43260,2023-06-17,38,Good,PM2.5
"Taos, NM",45340,2023-06-17,8,Good,PM2.5
"The Dalles, OR",45520,2023-06-17,12,Good,PM2.5
"Valdosta, GA",46660,2023-06-17,28,Good,PM2.5
"Warner Robins, GA",47580,2023-06-17,34,Good,PM2.5
"Wenatchee, WA",48300,2023-06-17,12,Good,PM2.5
"Worcester, MA-CT",49340,2023-06-17,38,Good,PM2.5
"Yakima, WA",49420,2023-06-17,11,Good,PM2.5
"Adrian, MI",10300,2023-06-16,118,Unhealthy for Sensitive Groups,PM2.5
"Detroit-Warren-Dearborn, MI",19820,2023-06-16,105,Unhealthy for Sensitive Groups,PM2.5
"Wilmington, NC",48900,2023-06-16,136,Unhealthy for Sensitive Groups,PM2.5
"Aberdeen, SD",10100,2023-06-16,67,Moderate,PM2.5
"Akron, OH",10420,2023-06-16,77,Moderate,PM2.5
"Albany-Schenectady-Troy, NY",10580,2023-06-16,51,Moderate,PM2.5
"Ann Arbor, MI",11460,2023-06-16,96,Moderate,PM2.5
"Appleton, WI",11540,2023-06-16,84,Moderate,PM2.5
"Austin-Round Rock, TX",12420,2023-06-16,83,Moderate,PM2.5
"Baraboo, WI",12660,2023-06-16,59,Moderate,PM2.5
"Bay City, MI",13020,2023-06-16,78,Moderate,PM2.5
"Beaumont-Port Arthur, TX",13140,2023-06-16,56,Moderate,PM2.5
"Beaver Dam, WI",13180,2023-06-16,66,Moderate,PM2.5
"Bemidji, MN",13420,2023-06-16,72,Moderate,PM2.5
"Billings, MT",13740,2023-06-16,51,Moderate,PM2.5
"Bismarck, ND",13900,2023-06-16,68,Moderate,PM2.5
"Bloomington, IL",14010,2023-06-16,58,Moderate,PM2.5
"Bloomington, IN",14020,2023-06-16,67,Moderate,PM2.5
"Boise City, ID",14260,2023-06-16,62,Moderate,PM2.5
"Boston-Cambridge-Newton, MA-NH",14460,2023-06-16,58,Moderate,PM2.5
"Brainerd, MN",14660,2023-06-16,66,Moderate,PM2.5
"Brookings, SD",15100,2023-06-16,70,Moderate,PM2.5
"Brownsville-Harlingen, TX",15180,2023-06-16,100,Moderate,PM2.5
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2023-06-16,66,Moderate,PM2.5
"Burlington-South Burlington, VT",15540,2023-06-16,59,Moderate,PM2.5
"Cadillac, MI",15620,2023-06-16,66,Moderate,PM2.5
"Canton-Massillon, OH",15940,2023-06-16,77,Moderate,PM2.5
"Cedar Rapids, IA",16300,2023-06-16,65,Moderate,PM2.5
"Champaign-Urbana, IL",16580,2023-06-16,56,Moderate,PM2.5
"Charleston, WV",16620,2023-06-16,67,Moderate,PM2.5
"Charlottesville, VA",16820,2023-06-16,65,Moderate,PM2.5
"Chicago-Naperville-Elgin, IL-IN-WI",16980,2023-06-16,60,Moderate,PM2.5
"Cincinnati, OH-KY-IN",17140,2023-06-16,79,Moderate,PM2.5
"Cleveland-Elyria, OH",17460,2023-06-16,82,Moderate,PM2.5
"Clinton, IA",17540,2023-06-16,61,Moderate,PM2.5
"Coeur d'Alene, ID",17660,2023-06-16,54,Moderate,PM2.5
"College Station-Bryan, TX",17780,2023-06-16,64,Moderate,PM2.5
"Columbus, IN",18020,2023-06-16,57,Moderate,PM2.5
"Columbus, OH",18140,2023-06-16,74,Moderate,PM2.5
"Cookeville, TN",18260,2023-06-16,55,Moderate,PM2.5
"Corpus Christi, TX",18580,2023-06-16,68,Moderate,PM2.5
"Corsicana, TX",18620,2023-06-16,67,Moderate,PM2.5
"Dallas-Fort Worth-Arlington, TX",19100,2023-06-16,63,Moderate,PM2.5
"Davenport-Moline-Rock Island, IA-IL",19340,2023-06-16,62,Moderate,PM2.5
"Dayton, OH",19380,2023-06-16,69,Moderate,PM2.5
"Decatur, IL",19500,2023-06-16,59,Moderate,PM2.5
"Des Moines-West Des Moines, IA",19780,2023-06-16,78,Moderate,PM2.5
"Dickinson, ND",19860,2023-06-16,68,Moderate,PM2.5
"Duluth, MN-WI",20260,2023-06-16,63,Moderate,PM2.5
"Eagle Pass, TX",20580,2023-06-16,84,Moderate,PM2.5
"Eau Claire, WI",20740,2023-06-16,67,Moderate,PM2.5
"El Paso, TX",21340,2023-06-16,75,Moderate,PM2.5
"Elizabethtown-Fort Knox, KY",21060,2023-06-16,80,Moderate,PM2.5
"Elkhart-Goshen, IN",21140,2023-06-16,52,Moderate,PM2.5
"Erie, PA",21500,2023-06-16,63,Moderate,PM2.5
"Evansville, IN-KY",21780,2023-06-16,77,Moderate,PM2.5
"Fargo, ND-MN",22020,2023-06-16,71,Moderate,PM2.5
"Flint, MI",22420,2023-06-16,85,Moderate,PM2.5
"Fort Wayne, IN",23060,2023-06-16,66,Moderate,PM2.5
"Gettysburg, PA",23900,2023-06-16,53,Moderate,PM2.5
"Gillette, WY",23940,2023-06-16,59,Moderate,PM2.5
"Grand Rapids-Wyoming, MI",24340,2023-06-16,72,Moderate,PM2.5
"Great Falls, MT",24500,2023-06-16,58,Moderate,PM2.5
"Green Bay, WI",24580,2023-06-16,77,Moderate,PM2.5
"Greenville, NC",24780,2023-06-16,54,Moderate,PM2.5
"Harrisburg-Carlisle, PA",25420,2023-06-16,53,Moderate,PM2.5
"Havre, MT",25660,2023-06-16,67,Moderate,PM2.5
"Holland, MI",26090,2023-06-16,61,Moderate,PM2.5
"Houma-Thibodaux, LA",26380,2023-06-16,68,Moderate,PM2.5
"Houston-The Woodlands-Sugar Land, TX",26420,2023-06-16,68,Moderate,PM2.5
"Huntington-Ashland, WV-KY-OH",26580,2023-06-16,87,Moderate,PM2.5
"Indiana, PA",26860,2023-06-16,62,Moderate,PM2.5
"Indianapolis-Carmel-Anderson, IN",26900,2023-06-16,74,Moderate,PM2.5
"Iowa City, IA",26980,2023-06-16,66,Moderate,PM2.5
"Johnstown, PA",27780,2023-06-16,59,Moderate,PM2.5
"Kalamazoo-Portage, MI",28020,2023-06-16,73,Moderate,PM2.5
"Kalispell, MT",28060,2023-06-16,62,Moderate,PM2.5
"Killeen-Temple, TX",28660,2023-06-16,75,Moderate,PM2.5
"Kingsville, TX",28780,2023-06-16,60,Moderate,PM2.5
"Klamath Falls, OR",28900,2023-06-16,54,Moderate,PM2.5
"Kokomo, IN",29020,2023-06-16,60,Moderate,PM2.5
"La Crosse-Onalaska, WI-MN",29100,2023-06-16,62,Moderate,PM2.5
"Laconia, NH",29060,2023-06-16,56,Moderate,PM2.5
"Lancaster, PA",29540,2023-06-16,54,Moderate,PM2.5
"Lansing-East Lansing, MI",29620,2023-06-16,85,Moderate,PM2.5
"Laredo, TX",29700,2023-06-16,86,Moderate,PM2.5
"Lewiston, ID-WA",30300,2023-06-16,69,Moderate,PM2.5
"Lexington-Fayette, KY",30460,2023-06-16,74,Moderate,PM2.5
"Lima, OH",30620,2023-06-16,64,Moderate,PM2.5
"Little Rock-North Little Rock-Conway, AR",30780,2023-06-16,59,Moderate,PM2.5
"Louisville/Jefferson County, KY-IN",31140,2023-06-16,81,Moderate,PM2.5
"Macon, GA",31420,2023-06-16,52,Moderate,PM2.5
"Madison, WI",31540,2023-06-16,64,Moderate,PM2.5
"Marshall, MN",32140,2023-06-16,74,Moderate,PM2.5
"Miami-Fort Lauderdale-West Palm Beach, FL",33100,2023-06-16,52,Moderate,PM2.5
"Milwaukee-Waukesha-West Allis, WI",33340,2023-06-16,76,Moderate,PM2.5
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2023-06-16,75,Moderate,PM2.5
"Minot, ND",33500,2023-06-16,72,Moderate,PM2.5
"Missoula, MT",33540,2023-06-16,64,Moderate,PM2.5
"Moscow, ID",34140,2023-06-16,55,Moderate,PM2.5
"Mount Vernon, IL",34500,2023-06-16,77,Moderate,PM2.5
"Muscatine, IA",34700,2023-06-16,60,Moderate,PM2.5
"Naples-Immokalee-Marco Island, FL",34940,2023-06-16,52,Moderate,PM2.5
"New Castle, IN",35220,2023-06-16,63,Moderate,PM2.5
"New Orleans-Metairie, LA",35380,2023-06-16,51,Moderate,PM2.5
"North Port-Sarasota-Bradenton, FL",35840,2023-06-16,54,Moderate,PM2.5
"Owensboro, KY",36980,2023-06-16,82,Moderate,PM2.5
"Pierre, SD",38180,2023-06-16,54,Moderate,PM2.5
"Pittsburgh, PA",38300,2023-06-16,72,Moderate,PM2.5
"Platteville, WI",38420,2023-06-16,64,Moderate,PM2.5
"Portland-South Portland, ME",38860,2023-06-16,58,Moderate,PM2.5
"Portsmouth, OH",39020,2023-06-16,84,Moderate,PM2.5
"Pullman, WA",39420,2023-06-16,58,Moderate,PM2.5
"Rapid City, SD",39660,2023-06-16,66,Moderate,PM2.5
"Richmond, VA",40060,2023-06-16,73,Moderate,PM2.5
"Roanoke Rapids, NC",40260,2023-06-16,65,Moderate,PM2.5
"Roanoke, VA",40220,2023-06-16,90,Moderate,PM2.5
"Rochester, MN",40340,2023-06-16,69,Moderate,PM2.5
"Rochester, NY",40380,2023-06-16,56,Moderate,PM2.5
"Rockford, IL",40420,2023-06-16,62,Moderate,PM2.5
"San Antonio-New Braunfels, TX",41700,2023-06-16,76,Moderate,PM2.5
"San Francisco-Oakland-Hayward, CA",41860,2023-06-16,59,Moderate,PM2.5
"Scranton--Wilkes-Barre--Hazleton, PA",42540,2023-06-16,52,Moderate,PM2.5
"Sheridan, WY",43260,2023-06-16,57,Moderate,PM2.5
"South Bend-Mishawaka, IN-MI",43780,2023-06-16,56,Moderate,PM2.5
"Spokane-Spokane Valley, WA",44060,2023-06-16,62,Moderate,PM2.5
"Springfield, IL",44100,2023-06-16,60,Moderate,PM2.5
"Springfield, OH",44220,2023-06-16,71,Moderate,PM2.5
"St. Cloud, MN",41060,2023-06-16,70,Moderate,PM2.5
"Terre Haute, IN",45460,2023-06-16,56,Moderate,PM2.5
"Toledo, OH",45780,2023-06-16,72,Moderate,PM2.5
"Twin Falls, ID",46300,2023-06-16,52,Moderate,PM2.5
"Vermillion, SD",46820,2023-06-16,85,Moderate,PM2.5
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,2023-06-16,62,Moderate,PM2.5
"Waco, TX",47380,2023-06-16,72,Moderate,PM2.5
"Walla Walla, WA",47460,2023-06-16,55,Moderate,PM2.5
"Waterloo-Cedar Falls, IA",47940,2023-06-16,70,Moderate,PM2.5
"Watertown, SD",47980,2023-06-16,72,Moderate,PM2.5
"Weirton-Steubenville, WV-OH",48260,2023-06-16,65,Moderate,PM2.5
"Wheeling, WV-OH",48540,2023-06-16,67,Moderate,PM2.5
"Winchester, VA-WV",49020,2023-06-16,56,Moderate,PM2.5
"Worcester, MA-CT",49340,2023-06-16,52,Moderate,PM2.5
"Youngstown-Warren-Boardman, OH-PA",49660,2023-06-16,70,Moderate,PM2.5
"Aberdeen, WA",10140,2023-06-16,12,Good,PM2.5
"Ada, OK",10220,2023-06-16,14,Good,PM2.5
"Albany, GA",10500,2023-06-16,35,Good,PM2.5
"Albany, OR",10540,2023-06-16,16,Good,PM2.5
"Athens, TN",11940,2023-06-16,44,Good,PM2.5
"Bakersfield, CA",12540,2023-06-16,39,Good,PM2.5
"Baton Rouge, LA",12940,2023-06-16,46,Good,PM2.5
"Beatrice, NE",13100,2023-06-16,17,Good,PM2.5
"Bend-Redmond, OR",13460,2023-06-16,22,Good,PM2.5
"Bozeman, MT",14580,2023-06-16,18,Good,PM2.5
"Bremerton-Silverdale, WA",14740,2023-06-16,18,Good,PM2.5
"Brunswick, GA",15260,2023-06-16,33,Good,PM2.5
"Butte-Silver Bow, MT",15580,2023-06-16,24,Good,PM2.5
"Centralia, WA",16500,2023-06-16,8,Good,PM2.5
"Claremont-Lebanon, NH-VT",17200,2023-06-16,46,Good,PM2.5
"Columbus, GA-AL",17980,2023-06-16,40,Good,PM2.5
"Corning, NY",18500,2023-06-16,35,Good,PM2.5
"Crescent City, CA",18860,2023-06-16,46,Good,PM2.5
"Dyersburg, TN",20540,2023-06-16,37,Good,PM2.5
"Ellensburg, WA",21260,2023-06-16,13,Good,PM2.5
"Fairbanks, AK",21820,2023-06-16,38,Good,PM2.5
"Gainesville, GA",23580,2023-06-16,43,Good,PM2.5
"Gardnerville Ranchos, NV",23820,2023-06-16,15,Good,PM2.5
"Grand Island, NE",24260,2023-06-16,43,Good,PM2.5
"Grants Pass, OR",24420,2023-06-16,28,Good,PM2.5
"Greenfield Town, MA",24640,2023-06-16,44,Good,PM2.5
"Gulfport-Biloxi-Pascagoula, MS",25060,2023-06-16,44,Good,PM2.5
"Hattiesburg, MS",25620,2023-06-16,43,Good,PM2.5
"Helena, MT",25740,2023-06-16,41,Good,PM2.5
"Hermiston-Pendleton, OR",25840,2023-06-16,41,Good,PM2.5
"Hilo, HI",25900,2023-06-16,21,Good,PM2.5
"Homosassa Springs, FL",26140,2023-06-16,36,Good,PM2.5
"Jackson, MS",27140,2023-06-16,40,Good,PM2.5
"Jackson, TN",27180,2023-06-16,39,Good,PM2.5
"Jacksonville, FL",27260,2023-06-16,42,Good,PM2.5
"Juneau, AK",27940,2023-06-16,4,Good,PM2.5
"Kahului-Wailuku-Lahaina, HI",27980,2023-06-16,15,Good,PM2.5
"Keene, NH",28300,2023-06-16,43,Good,PM2.5
"Kennewick-Richland, WA",28420,2023-06-16,45,Good,PM2.5
"La Grande, OR",29260,2023-06-16,49,Good,PM2.5
"Lake Charles, LA",29340,2023-06-16,50,Good,PM2.5
"Lakeland-Winter Haven, FL",29460,2023-06-16,33,Good,PM2.5
"Lawrenceburg, TN",29980,2023-06-16,32,Good,PM2.5
"Lewiston-Auburn, ME",30340,2023-06-16,40,Good,PM2.5
"Longview, WA",31020,2023-06-16,5,Good,PM2.5
"Lubbock, TX",31180,2023-06-16,16,Good,PM2.5
"Moses Lake, WA",34180,2023-06-16,45,Good,PM2.5
"Odessa, TX",36220,2023-06-16,30,Good,PM2.5
"Othello, WA",36830,2023-06-16,50,Good,PM2.5
"Ponca City, OK",38620,2023-06-16,22,Good,PM2.5
"Port St. Lucie, FL",38940,2023-06-16,36,Good,PM2.5
"Prineville, OR",39260,2023-06-16,31,Good,PM2.5
"Rome, GA",40660,2023-06-16,35,Good,PM2.5
"Rutland, VT",40860,2023-06-16,45,Good,PM2.5
"Sandpoint, ID",41760,2023-06-16,48,Good,PM2.5
"Santa Rosa, CA",42220,2023-06-16,37,Good,PM2.5
"Scottsbluff, NE",42420,2023-06-16,25,Good,PM2.5
"Seattle-Tacoma-Bellevue, WA",42660,2023-06-16,39,Good,PM2.5
"Shelton, WA",43220,2023-06-16,8,Good,PM2.5
"Syracuse, NY",45060,2023-06-16,45,Good,PM2.5
"Tampa-St. Petersburg-Clearwater, FL",45300,2023-06-16,45,Good,PM2.5
"Taos, NM",45340,2023-06-16,14,Good,PM2.5
"Texarkana, TX-AR",45500,2023-06-16,48,Good,PM2.5
"The Dalles, OR",45520,2023-06-16,19,Good,PM2.5
"Tuscaloosa, AL",46220,2023-06-16,47,Good,PM2.5
"Utica-Rome, NY",46540,2023-06-16,39,Good,PM2.5
